"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent
Kenya,323709,13,5649.0,,317909.0,,151.0,,5789.0,101.0,3584170.0,64100.0,55914924.0,Africa
Zambia,318984,,3974.0,,314075.0,,935.0,,16514.0,206.0,3408441.0,176461.0,19315550.0,Africa
North Macedonia,309062,,9271.0,,299064.0,,727.0,,148358.0,4450.0,2007553.0,963678.0,2083219.0,Europe
Botswana,305859,,2688.0,,303026.0,,145.0,1.0,125477.0,1103.0,2026898.0,831525.0,2437567.0,Africa
Albania,274828,37,3496.0,,270893.0,24,439.0,2.0,95689.0,1217.0,1800323.0,626830.0,2872108.0,Europe
Algeria,265767,6,6875.0,1,178346.0,2,80546.0,6.0,5869.0,152.0,230861.0,5098.0,45284357.0,Africa
Nigeria,255685,,3143.0,,249890.0,,2652.0,11.0,1187.0,15.0,5036813.0,23385.0,215385391.0,Africa
Zimbabwe,247554,30,5468.0,,241426.0,64,660.0,12.0,16228.0,358.0,2241348.0,146929.0,15254612.0,Africa
Uzbekistan,238469,27,1637.0,,236483.0,25,349.0,23.0,6943.0,48.0,1377915.0,40117.0,34347324.0,Asia
Montenegro,234707,88,2713.0,,231376.0,79,618.0,6.0,373612.0,4319.0,2445741.0,3893190.0,628210.0,Europe
Luxembourg,233966,,1058.0,,221501.0,,11407.0,1.0,363068.0,1642.0,4213886.0,6539108.0,644413.0,Europe
Mozambique,225365,7,2201.0,,223104.0,,60.0,13.0,6863.0,67.0,1310132.0,39895.0,32839892.0,Africa
Laos,205270,377,732.0,,7660.0,,196878.0,,27491.0,98.0,1232128.0,165017.0,7466687.0,Asia
Kyrgyzstan,200983,,2991.0,,196386.0,10,1606.0,131.0,29912.0,445.0,1907195.0,283849.0,6719045.0,Asia
Iceland,185074,,114.0,,75685.0,,109275.0,,536053.0,330.0,1953616.0,5658506.0,345253.0,Europe
Maldives,178883,,298.0,,163687.0,,14898.0,25.0,320707.0,534.0,2213831.0,3969025.0,557777.0,Asia
Afghanistan,178689,39,7682.0,1,161748.0,40,9259.0,1124.0,4410.0,190.0,940341.0,23210.0,40515013.0,Asia
Uganda,164069,,3596.0,,100205.0,,60268.0,2.0,3393.0,74.0,2612795.0,54034.0,48354471.0,Africa
El Salvador,162089,,4127.0,,150662.0,,7300.0,8.0,24764.0,631.0,1950448.0,297985.0,6545463.0,North America
Ghana,161124,,1445.0,,159655.0,,24.0,1.0,4997.0,45.0,2433244.0,75457.0,32246878.0,Africa
Namibia,158358,26,4025.0,2,153662.0,,671.0,,60345.0,1534.0,1001841.0,381770.0,2624198.0,Africa
Martinique,147519,,918.0,,104.0,,146497.0,8.0,393659.0,2450.0,828928.0,2212020.0,374738.0,North America
Trinidad and Tobago,144563,204,3813.0,1,133834.0,230,6916.0,18.0,102695.0,2709.0,696573.0,494833.0,1407693.0,North America
Brunei,141119,105,218.0,,139882.0,158,1019.0,,317076.0,490.0,717784.0,1612769.0,445063.0,Asia
Guadeloupe,140130,,854.0,,2250.0,,137026.0,19.0,350108.0,2134.0,938039.0,2343644.0,400248.0,North America
Cambodia,136216,16,3056.0,,132921.0,25,239.0,,7948.0,178.0,2946965.0,171956.0,17137853.0,Asia
Rwanda,129767,3,1458.0,,45522.0,,82787.0,,9589.0,108.0,5233320.0,386701.0,13533238.0,Africa
Jamaica,129562,73,2948.0,5,83006.0,41,43608.0,,43411.0,988.0,984844.0,329979.0,2984569.0,North America
Cameroon,119780,,1927.0,,117791.0,,62.0,13.0,4318.0,69.0,1751774.0,63146.0,27741645.0,Africa
Angola,99194,,1900.0,,97149.0,,145.0,,2857.0,55.0,1499795.0,43202.0,34715954.0,Africa
Malta,90595,196,688.0,1,84646.0,535,5261.0,4.0,204194.0,1551.0,1872465.0,4220381.0,443672.0,Europe
DRC,87023,,1337.0,,50930.0,,34756.0,,921.0,14.0,846704.0,8961.0,94487750.0,Africa
